origin,body,frame,file,n_events,n_pairs,n_near45,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,samedate_sep_median,samedate_sep_p90,daily_drift_med_deg_per_day,operational_scale_flag
EA,NE,G-RA,EA_x_NE_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.51911336902029,same-slate-discriminator
EA,NN,G-LON,EA_x_NN_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.68409816319962,same-slate-discriminator
EA,NN,G-RA,EA_x_NN_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.465433418617778,same-slate-discriminator
EA,PA,G-LON,EA_x_PA_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.679315174840298,same-slate-discriminator
EA,PA,G-RA,EA_x_PA_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.5,same-slate-discriminator
EA,PL,G-LON,EA_x_PL_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.717077061939904,same-slate-discriminator
EA,PL,G-RA,EA_x_PL_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.49008723851972,same-slate-discriminator
EA,SA,G-LON,EA_x_SA_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.646649404180664,same-slate-discriminator
EA,SA,G-RA,EA_x_SA_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.500000000000014,same-slate-discriminator
EA,SU,G-LON,EA_x_SU_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.754567020811777,same-slate-discriminator
EA,SU,G-RA,EA_x_SU_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.638422310871647,same-slate-discriminator
EA,UR,G-LON,EA_x_UR_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.65430403840574,same-slate-discriminator
EA,UR,G-RA,EA_x_UR_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.556806200204278,same-slate-discriminator
EA,VE,G-AZ,EA_x_VE_G-AZ,46152,297352,80481,5.0,18.0,5.0,8.0,90.0,,same-slate-discriminator
EA,VE,G-LON,EA_x_VE_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.68409816319962,same-slate-discriminator
EA,VE,G-RA,EA_x_VE_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.704825271646854,same-slate-discriminator
EA,VS,G-LON,EA_x_VS_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.779285759191033,same-slate-discriminator
EA,VS,G-RA,EA_x_VS_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.51203427208988,same-slate-discriminator
MC G-LON,MO,G-LON_x_G-RA,MC_G-LON_x_MO_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,85.0,27.102168628898298,same-slate-discriminator
MC G-RA,MO,G-RA_x_G-LON,MC_G-RA_x_MO_G-LON,46152,297352,80481,5.0,14.0,5.0,8.0,85.0,27.34033566562252,same-slate-discriminator
MC,CE,G-LON,MC_x_CE_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.444062742306812,same-slate-discriminator
MC,CE,G-RA,MC_x_CE_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.5,same-slate-discriminator
MC,JN,G-LON,MC_x_JN_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.564049674280973,same-slate-discriminator
MC,JN,G-RA,MC_x_JN_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.508147111260115,same-slate-discriminator
MC,JU,G-LON,MC_x_JU_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.498135445050593,same-slate-discriminator
MC,JU,G-RA,MC_x_JU_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.465653248316812,same-slate-discriminator
MC,MA,G-LON,MC_x_MA_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.614764269390236,same-slate-discriminator
MC,MA,G-RA,MC_x_MA_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.53658967851044,same-slate-discriminator
MC,ME,G-LON,MC_x_ME_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.647962575832366,same-slate-discriminator
