origin,body,frame,dt_bin,n_pairs,dt_median_min,sep_median,sep_p90
Asc,SU,G-AZ,>360,28565,418.0,89.0,127.0
Asc,SU,G-LON,<=15,54228,3.0,5.0,15.0
Asc,SU,G-LON,15-30,10357,25.0,6.0,18.0
Asc,SU,G-LON,30-45,15407,32.0,6.0,17.0
Asc,SU,G-LON,45-90,53296,60.0,5.0,16.0
Asc,SU,G-LON,90-180,70030,125.0,7.0,32.0
Asc,SU,G-LON,180-360,65469,211.0,46.0,84.0
Asc,SU,G-LON,>360,28565,418.0,79.0,104.0
Asc,SU,G-RA,<=15,54228,3.0,5.0,15.0
Asc,SU,G-RA,15-30,10357,25.0,6.0,18.0
Asc,SU,G-RA,30-45,15407,32.0,6.0,17.0
Asc,SU,G-RA,45-90,53296,60.0,5.0,16.0
Asc,SU,G-RA,90-180,70030,125.0,7.0,32.0
Asc,SU,G-RA,180-360,65469,211.0,45.0,87.0
Asc,SU,G-RA,>360,28565,418.0,77.0,108.0
Asc,UR,G-AZ,<=15,54228,3.0,5.0,17.0
Asc,UR,G-AZ,15-30,10357,25.0,5.0,20.0
Asc,UR,G-AZ,30-45,15407,32.0,5.0,20.0
Asc,UR,G-AZ,45-90,53296,60.0,5.0,18.0
Asc,UR,G-AZ,90-180,70030,125.0,6.0,31.0
Asc,UR,G-AZ,180-360,65469,211.0,30.0,103.0
Asc,UR,G-AZ,>360,28565,418.0,70.0,124.0
Asc,UR,G-LON,<=15,54228,3.0,5.0,15.0
Asc,UR,G-LON,15-30,10357,25.0,6.0,18.0
Asc,UR,G-LON,30-45,15407,32.0,6.0,17.0
Asc,UR,G-LON,45-90,53296,60.0,5.0,16.0
Asc,UR,G-LON,90-180,70030,125.0,7.0,32.0
Asc,UR,G-LON,180-360,65469,211.0,46.0,85.0
Asc,UR,G-LON,>360,28565,418.0,79.0,105.0
Asc,UR,G-RA,<=15,54228,3.0,5.0,15.0
Asc,UR,G-RA,15-30,10357,25.0,6.0,18.0
Asc,UR,G-RA,30-45,15407,32.0,6.0,17.0
Asc,UR,G-RA,45-90,53296,60.0,5.0,16.0
Asc,UR,G-RA,90-180,70030,125.0,7.0,32.0
Asc,UR,G-RA,180-360,65469,211.0,45.0,88.0
Asc,UR,G-RA,>360,28565,418.0,77.0,108.0
Asc,VE,G-AZ,<=15,54228,3.0,5.0,18.0
Asc,VE,G-AZ,15-30,10357,25.0,6.0,21.0
Asc,VE,G-AZ,30-45,15407,32.0,6.0,21.0
Asc,VE,G-AZ,45-90,53296,60.0,5.0,17.0
Asc,VE,G-AZ,90-180,70030,125.0,7.0,31.0
Asc,VE,G-AZ,180-360,65469,211.0,31.0,114.0
Asc,VE,G-AZ,>360,28565,418.0,89.0,133.0
Asc,VE,G-LON,<=15,54228,3.0,5.0,15.0
Asc,VE,G-LON,15-30,10357,25.0,6.0,18.0
Asc,VE,G-LON,30-45,15407,32.0,6.0,17.0
Asc,VE,G-LON,45-90,53296,60.0,5.0,16.0
Asc,VE,G-LON,90-180,70030,125.0,7.0,32.0
Asc,VE,G-LON,180-360,65469,211.0,46.0,84.0
Asc,VE,G-LON,>360,28565,418.0,79.0,104.0
Asc,VE,G-RA,<=15,54228,3.0,5.0,15.0
Asc,VE,G-RA,15-30,10357,25.0,6.0,18.0
Asc,VE,G-RA,30-45,15407,32.0,6.0,17.0
Asc,VE,G-RA,45-90,53296,60.0,5.0,16.0
Asc,VE,G-RA,90-180,70030,125.0,7.0,32.0
Asc,VE,G-RA,180-360,65469,211.0,45.0,87.0
Asc,VE,G-RA,>360,28565,418.0,77.0,108.0
Asc,VS,G-AZ,<=15,54228,3.0,6.0,20.0
Asc,VS,G-AZ,15-30,10357,25.0,6.0,23.0
Asc,VS,G-AZ,30-45,15407,32.0,6.0,22.0
Asc,VS,G-AZ,45-90,53296,60.0,5.0,20.0
Asc,VS,G-AZ,90-180,70030,125.0,7.0,32.0
Asc,VS,G-AZ,180-360,65469,211.0,33.0,112.0
Asc,VS,G-AZ,>360,28565,418.0,80.0,132.0
Asc,VS,G-LON,<=15,54228,3.0,5.0,15.0
Asc,VS,G-LON,15-30,10357,25.0,6.0,18.0
Asc,VS,G-LON,30-45,15407,32.0,6.0,17.0
Asc,VS,G-LON,45-90,53296,60.0,5.0,16.0
Asc,VS,G-LON,90-180,70030,125.0,7.0,32.0
Asc,VS,G-LON,180-360,65469,211.0,46.0,85.0
Asc,VS,G-LON,>360,28565,418.0,79.0,105.0
Asc,VS,G-RA,<=15,54228,3.0,5.0,15.0
Asc,VS,G-RA,15-30,10357,25.0,6.0,18.0
Asc,VS,G-RA,30-45,15407,32.0,6.0,17.0
Asc,VS,G-RA,45-90,53296,60.0,5.0,16.0
Asc,VS,G-RA,90-180,70030,125.0,7.0,32.0
Asc,VS,G-RA,180-360,65469,211.0,45.0,87.0
Asc,VS,G-RA,>360,28565,418.0,77.0,108.0
EA G-AZ,MO,G-AZ_x_G-LON,<=15,54228,3.0,1.0,4.0
EA G-AZ,MO,G-AZ_x_G-LON,15-30,10357,25.0,2.0,5.0
EA G-AZ,MO,G-AZ_x_G-LON,30-45,15407,32.0,2.0,4.0
EA G-AZ,MO,G-AZ_x_G-LON,45-90,53296,60.0,1.0,4.0
EA G-AZ,MO,G-AZ_x_G-LON,90-180,70030,125.0,2.0,7.0
EA G-AZ,MO,G-AZ_x_G-LON,180-360,65469,211.0,7.0,22.0
EA G-AZ,MO,G-AZ_x_G-LON,>360,28565,418.0,17.0,25.0
EA G-AZ,MO,G-AZ_x_G-RA,<=15,54228,3.0,1.0,4.0
EA G-AZ,MO,G-AZ_x_G-RA,15-30,10357,25.0,2.0,5.0
EA G-AZ,MO,G-AZ_x_G-RA,30-45,15407,32.0,2.0,4.0
EA G-AZ,MO,G-AZ_x_G-RA,45-90,53296,60.0,1.0,4.0
EA G-AZ,MO,G-AZ_x_G-RA,90-180,70030,125.0,2.0,7.0
EA G-AZ,MO,G-AZ_x_G-RA,180-360,65469,211.0,7.0,22.0
EA G-AZ,MO,G-AZ_x_G-RA,>360,28565,418.0,17.0,25.0
EA G-LON,MO,G-LON_x_G-AZ,<=15,54228,3.0,2.0,12.0
EA G-LON,MO,G-LON_x_G-AZ,15-30,10357,25.0,3.0,14.0
EA G-LON,MO,G-LON_x_G-AZ,30-45,15407,32.0,3.0,13.0
EA G-LON,MO,G-LON_x_G-AZ,45-90,53296,60.0,3.0,11.0
EA G-LON,MO,G-LON_x_G-AZ,90-180,70030,125.0,4.0,16.0
EA G-LON,MO,G-LON_x_G-AZ,180-360,65469,211.0,12.0,39.0
EA G-LON,MO,G-LON_x_G-AZ,>360,28565,418.0,25.0,53.0
EA G-LON,MO,G-LON_x_G-RA,<=15,54228,3.0,5.0,13.0
EA G-LON,MO,G-LON_x_G-RA,15-30,10357,25.0,6.0,17.0
EA G-LON,MO,G-LON_x_G-RA,30-45,15407,32.0,6.0,16.0
EA G-LON,MO,G-LON_x_G-RA,45-90,53296,60.0,5.0,16.0
EA G-LON,MO,G-LON_x_G-RA,90-180,70030,125.0,6.0,34.0
EA G-LON,MO,G-LON_x_G-RA,180-360,65469,211.0,48.0,92.0
EA G-LON,MO,G-LON_x_G-RA,>360,28565,418.0,88.0,105.0
EA G-RA,MO,G-RA_x_G-AZ,<=15,54228,3.0,2.0,12.0
